stimuli_presented,participant_id_coded,name,participant_id,silly_or_annoying,intention,sarc,witty,z_silly_or_annoying,z_sarc,z_witty,gender,edu,native,generally_sarcastic,b5_agreeableness,b5_agreeableness_2,b5_conscientiousness,b5_conscientiousness_2,b5_extraversion,b5_extraversion_2,b5_neuroticism,b5_neuroticism_2,b5_openness,b5_openness_2,sarc_def1,sarc_def2,sarc_def3,sarc_def4,sarc_def5,context_type,b5_agree,b5_consci,b5_extra,b5_neuro,b5_open,int1_crit_harsher,int2_crit_softer,int3_mock_hilarious,int4_mock_friendly,int5_natural,int6_direct,int7_be_nice,int8_clever
1nn,40,1nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,['mock_hilarious'],5,5,-0.254132511,1.70568975,1.70568975,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,1,0,0,0,0,0
2nn,40,2nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,2,['natural'],2,2,-1.270662557,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,0,0,1,0,0,0
3nn,40,3nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,4,"['mock_hilarious', 'direct']",5,5,0.762397534,1.70568975,1.70568975,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,1,0,0,1,0,0
4nn,40,4nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,5,['direct'],3,3,1.77892758,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,0,0,0,1,0,0
5nn,40,5nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,"['natural', 'direct']",3,3,-0.254132511,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,0,0,1,1,0,0
6nn,40,6nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,"['natural', 'direct']",3,3,-0.254132511,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,0,0,1,1,0,0
7nn,40,7nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,3,"['natural', 'direct']",3,3,-0.254132511,-0.083886381,-0.083886381,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,0,0,1,1,0,0
8nn,40,8nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,4,"['crit_softer', 'mock_hilarious']",5,5,0.762397534,1.70568975,1.70568975,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,1,1,0,0,0,0,0
9nn,40,9nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,5,"['mock_friendly', 'mock_hilarious']",5,5,1.77892758,1.70568975,1.70568975,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,0,1,1,0,0,0,0
10nn,40,10nn_40,b039618c2047b752f33043f86ba321d8a3277386752056b4f83c53bca3eed638,4,"['natural', 'crit_softer', 'direct']",2,2,0.762397534,-0.978674447,-0.978674447,female,high school diploma,Other,5,5,4,4,4,5,5,3,5,2,4,3,3,5,2,4,nn,4.5,4,5,4,3,0,1,0,0,1,1,0,0
