stimuli_presented,interlocutor_id,name,context_type,silly_or_annoying,sarc,witty,z_silly_or_annoying,z_sarc,z_witty,int1_crit_harsher,int2_crit_softer,int3_mock_hilarious,int4_mock_friendly,int5_natural,int6_direct,int7_be_nice,int8_clever,generally_sarcastic,sarc_def1,sarc_def2,sarc_def3,sarc_def4,sarc_def5,experiment
1nn,40,1nn_40,nn,3,5,5,-0.254132511,1.70568975,1.70568975,0,0,1,0,0,0,0,0,5,3,3,5,2,4,generation
2nn,40,2nn_40,nn,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,1,0,0,0,5,3,3,5,2,4,generation
3nn,40,3nn_40,nn,4,5,5,0.762397534,1.70568975,1.70568975,0,0,1,0,0,1,0,0,5,3,3,5,2,4,generation
4nn,40,4nn_40,nn,5,3,3,1.77892758,-0.083886381,-0.083886381,0,0,0,0,0,1,0,0,5,3,3,5,2,4,generation
5nn,40,5nn_40,nn,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,1,1,0,0,5,3,3,5,2,4,generation
6nn,40,6nn_40,nn,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,1,1,0,0,5,3,3,5,2,4,generation
7nn,40,7nn_40,nn,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,1,1,0,0,5,3,3,5,2,4,generation
8nn,40,8nn_40,nn,4,5,5,0.762397534,1.70568975,1.70568975,0,1,1,0,0,0,0,0,5,3,3,5,2,4,generation
9nn,40,9nn_40,nn,5,5,5,1.77892758,1.70568975,1.70568975,0,0,1,1,0,0,0,0,5,3,3,5,2,4,generation
10nn,40,10nn_40,nn,4,2,2,0.762397534,-0.978674447,-0.978674447,0,1,0,0,1,1,0,0,5,3,3,5,2,4,generation
11nn,40,11nn_40,nn,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,0,1,0,0,5,3,3,5,2,4,generation
12nn,40,12nn_40,nn,5,3,3,1.77892758,-0.083886381,-0.083886381,0,1,0,0,0,0,0,0,5,3,3,5,2,4,generation
13nn,40,13nn_40,nn,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,1,1,0,0,5,3,3,5,2,4,generation
10n,40,10n_40,n,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,1,0,0,0,1,0,0,5,3,3,5,2,4,generation
15nn,40,15nn_40,nn,4,4,4,0.762397534,0.810901684,0.810901684,0,1,0,1,0,1,0,0,5,3,3,5,2,4,generation
16nn,40,16nn_40,nn,4,4,4,0.762397534,0.810901684,0.810901684,0,1,0,0,0,1,0,0,5,3,3,5,2,4,generation
11n,40,11n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,0,1,1,0,5,3,3,5,2,4,generation
12n,40,12n_40,n,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,1,0,0,0,5,3,3,5,2,4,generation
13n,40,13n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,1,1,1,0,5,3,3,5,2,4,generation
14n,40,14n_40,n,3,3,3,-0.254132511,-0.083886381,-0.083886381,0,0,0,0,0,1,0,0,5,3,3,5,2,4,generation
15n,40,15n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,1,1,1,0,5,3,3,5,2,4,generation
16n,40,16n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,0,1,0,0,5,3,3,5,2,4,generation
7n,40,7n_40,n,4,5,5,0.762397534,1.70568975,1.70568975,0,0,1,1,0,0,0,0,5,3,3,5,2,4,generation
8n,40,8n_40,n,3,2,2,-0.254132511,-0.978674447,-0.978674447,0,0,0,0,1,1,1,0,5,3,3,5,2,4,generation
9n,40,9n_40,n,2,2,2,-1.270662557,-0.978674447,-0.978674447,0,0,0,0,0,0,1,0,5,3,3,5,2,4,generation
14nn,40,14nn_40,nn,4,3,3,0.762397534,-0.083886381,-0.083886381,0,0,0,0,0,1,0,0,5,3,3,5,2,4,generation
1n,40,1n_40,n,3,2,2,-0.254132511,-0.978674447,-0.978674447,0,0,0,0,1,0,0,0,5,3,3,5,2,4,generation
2n,40,2n_40,n,3,4,4,-0.254132511,0.810901684,0.810901684,0,0,1,0,0,0,0,0,5,3,3,5,2,4,generation
